#osm-Y lacZ															
#Hrs	pBS-600	p4C12-600	pDB-600	pBS-420	p4C12-420	pDB-420	pBS-550	p4C12-550	pDB-550	pBS-Time	p4C12-Time	pDB-Time	pBS-LacZ	p4C12-LacZ	pDB-LacZ

2	0.1	0.014	0.084	0.04	0.033	0.09	0.001	0.005	0.001	67.29	67.36	67.32	56.84351315	257.1470987	156.0598987
3	0.27	0.023	0.434	0.097	0.03	0.152	0.007	0	0.015	67.67	67.77	67.72	46.38523554	192.4668476	42.78596335
4	0.519	0.084	0.962	0.148	0.042	0.255	0.018	0.003	0.054	68.04	68.14	68.09	32.99090754	64.20604638	24.50285164
5	0.825	0.392	1.399	0.213	0.087	0.417	0.035	0.015	0.09	68.06	68.15	68.1	27.02606435	22.74020393	27.23783193
6	1.106	0.914	1.54	0.284	0.186	0.51	0.048	0.042	0.118	68.02	68	67.99	26.5850965	18.10078517	28.98631006
7	1.303	1.37	1.574	0.346	0.333	0.575	0.065	0.095	0.157	67.98	68	67.99	26.21984661	17.89931301	28.05648413
8	1.393	1.481	1.592	0.387	0.404	0.618	0.082	0.125	0.168	67.95	67.97	67.96	25.72517798	18.40288398	29.94667274
9	1.415	1.519	1.613	0.375	0.501	0.624	0.079	0.168	0.176	68	68	67.99	24.60507171	20.04027417	28.8142735
10	1.428	1.565	1.621	0.4	0.55	0.647	0.093	0.196	0.185	67.51	67.92	67.91	24.60990321	19.47414173	29.36444441
