#csid-lacZ												
#Hrs	pbs-600	pdb-600	4c12-600	pbs-550	pdb-550	4C12-550	pbs-420	pdb-420	4c12-420	lacZ-pbs	lacZ-pdb	lacz-4c12

1	0.056	0.078	0.06	0.01	0.018	0.011	0.068	0.144	0.09	375.7440476	600.9615385	491.3194444
2	0.193	0.193	0.043	0.013	0.013	0.006	0.07	0.166	0.071	102.007772	309.261658	586.2403101
3	0.203	0.261	0.09	0.014	0.017	0.004	0.072	0.188	0.06	97.49589491	252.6340996	245.3703704
4	0.397	0.371	0.067	0.025	0.03	0.009	0.098	0.221	0.067	56.93744752	189.2407907	318.7189055
5	0.613	0.464	0.321	0.048	0.047	0.024	0.138	0.278	0.093	36.70473083	175.78125	66.19937695
6	0.888	0.577	0.756	0.072	0.048	0.066	0.201	0.324	0.178	35.19144144	173.3102253	34.44664903
7	1.187	0.671	1.239	0.104	0.055	0.161	0.253	0.383	0.396	24.9227745	178.0613512	38.42144202
8	1.334	0.805	1.481	0.122	0.075	0.228	0.298	0.407	0.767	26.39305347	142.7277433	103.5336484
9	1.396	1.013	1.539	0.143	0.098	0.291	0.364	0.537	0.955	33.95117001	150.337282	120.6817197
